PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
30357,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",11174,Toxic Organics,Toxic Organics,,"1,2,3,4,7,8,9-Heptachlorodibenzofuran"
30358,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",11165,Toxic Organics,Toxic Organics,,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin"
30362,"2,3,7,8-TCDF, sed.",11181,Uncategorized,Uncategorized,,No Match (unconfirmed)
30383,"Benzene, ethylbenzene, toluene, xylene combination",10926,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30391,"Chlorosyringaldehyde, effluent",10872,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30500,"Coliform, fecal - % samples exceeding limit",10287,Toxic Organics,Toxic Organics,,Fecal Coliform
31501,"Coliform, total MF, immed, m-endo med 35 C",4146,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31502,"Coliform, total 10/mL",4146,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31503,"Coliform, total MF, delayed, m-endo med",4146,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31504,"Coliform, total MF, immed, les endo agar",4146,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31505,"Coliform, tot, MPN, completed, [100 mL]",4146,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31612,"Coliform, fecal 10/mL",10287,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31613,"Coliform, fecal MF, MFC agar, 44.5 C, 24hr",10287,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31615,"Fecal coliform, MPN, EC med, 44.5 C",10287,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31616,"Coliform, fecal MF, MFC broth, 44.5 C",10287,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31625,"Coliform, fecal MF, MFC, 0.7um",10287,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
31633,"E. coli, thermotol, MF, MTEC",10251,Pathogens,Pathogens,,No Match (unconfirmed)
31639,"Enterococci: group D, MF trans, M-E, EIA",11237,Pathogens,Pathogens,,No Match (unconfirmed)
31641,Fecal coliform,10287,Toxic Organics,Toxic Organics,,Fecal Coliform
31648,"E. coli, MTEC-MF",10251,Pathogens,Pathogens,,No Match (unconfirmed)
31662,"Phosphate, tot. bottom sed., dry wt.",5878,Nutrients,Phosphorus,,No Match (unconfirmed)
31663,"Halogens, tot organics bottom sediment",1976,Solids,Suspended Solids,,No Match (unconfirmed)
31666,"Hydrocarbon, total recoverable",11402,Organics,COD,,No Match (unconfirmed)
31667,"Oil petroleum, total recoverable",3256,Other,Fuel,,No Match (unconfirmed)
31671,"Streptococci, fecal plate count KF agar",11293,Pathogens,Pathogens,,No Match (unconfirmed)
31673,"Streptococci, fecal MF, KF agar, 35C, 48hr",11293,Pathogens,Pathogens,,No Match (unconfirmed)
31674,"Streptococci, fecal 10/mL",11293,Pathogens,Pathogens,,No Match (unconfirmed)
31675,"Streptococci, fecal MPN, KF broth 35 C",11293,Pathogens,Pathogens,,No Match (unconfirmed)
31679,"Fecal streptococci, MF m-enterococcus ag",11293,Pathogens,Pathogens,,No Match (unconfirmed)
31751,"Plate count, total 35 deg. C, 24 hour",12098,Uncategorized,Uncategorized,,No Match (unconfirmed)
31760,Klebsiella species,11431,Uncategorized,Uncategorized,,No Match (unconfirmed)
