IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
"Chronic Mthd Germ Tube Length Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Static48hr M pyrifera",Aquatic Toxicity,Aquatic Toxicity
Diazinon + Chlorpyrifos,Toxic Organics,Toxic Organics
"Chronic Mthd Larval Development Endpt, %Effect, Median TSTcHo R/nR Pass/Fail, Stat72hr S purpuratus",Aquatic Toxicity,Aquatic Toxicity
TU LC50 Static Renewal 96Hr Acute Pimephales promelas,Toxic Organics,Toxic Organics
Color [PT-CO units],Uncommon,Uncommon
Odor [Threshold Number],Uncommon,Uncommon
Septage discharged to treatment fac.,Uncommon,Uncommon
Radioactivity,Uncommon,Uncommon
"Oxygen, dissolved percent saturation",Uncommon,Uncommon
Ozone - residual,Uncommon,Uncommon
"Alkalinity, total [as CaCO3]",Uncommon,Uncommon
Bicarbonate ion- [as HCO3],Uncommon,Uncommon
Carbonate ion- [as CO3],Uncommon,Uncommon
"Solids, volatile suspended",Uncommon,Uncommon
"Nitrogen, organic total [as N]",Uncommon,Uncommon
"Nitrogen, Kjeldahl, total [as N]",Uncommon,Uncommon
"Phosphate, total [as PO4]",Uncommon,Uncommon
"Phosphorous, total recoverable",Uncommon,Uncommon
"Phosphorus, dissolved reactive [drp as P]",Uncommon,Uncommon
"Phosphate, ortho, dissolved [as P]",Uncommon,Uncommon
"Carbon, dissolved organic [as C]",Uncommon,Uncommon
Sulfite [as SO3],Uncommon,Uncommon
"Sulfide, total [as S]",Uncommon,Uncommon
"Sulfide, dissolved, [as S]",Uncommon,Uncommon
"Hardness, total [as CaCO3]",Uncommon,Uncommon
"Calcium, total [as Ca]",Uncommon,Uncommon
"Calcium, total recoverable",Uncommon,Uncommon
"Magnesium, total recoverable",Uncommon,Uncommon
"Magnesium, total [as Mg]",Uncommon,Uncommon
"Sodium, total [as Na]",Uncommon,Uncommon
"Sodium, %",Uncommon,Uncommon
"Potassium, total [as K]",Uncommon,Uncommon
"Potassium, total recoverable",Uncommon,Uncommon
"Chloride, total recoverable",Uncommon,Uncommon
Asbestos,Uncommon,Uncommon
"Fluoride, total [as F]",Uncommon,Uncommon
"Silica, dissolved [as SiO2]",Uncommon,Uncommon
"Silica, total [as SiO2]",Uncommon,Uncommon
"Cobalt, total recoverable",Uncommon,Uncommon
"Tin, total recoverable",Uncommon,Uncommon
"Titanium, total recoverable",Uncommon,Uncommon
"Barium, total [as Ba]",Uncommon,Uncommon
"Barium, total recoverable",Uncommon,Uncommon
"Beryllium, total [as Be]",Uncommon,Uncommon
"Boron, total [as B]",Uncommon,Uncommon
"Chromium, total [as Cr]",Uncommon,Uncommon
"Copper, dissolved [as Cu]",Uncommon,Uncommon
"Iron, total [as Fe]",Uncommon,Uncommon
"Iron, dissolved [as Fe]",Uncommon,Uncommon
"Manganese, dissolved [as Mn]",Uncommon,Uncommon
"Strontium, total recoverable, ug/L",Uncommon,Uncommon
"Zinc, dissolved [as Zn]",Uncommon,Uncommon
"Aluminum, total [as Al]",Uncommon,Uncommon
"Aluminum, dissolved [as Al]",Uncommon,Uncommon
"Vanadium, total recoverable",Uncommon,Uncommon
"Molybdenum, total recoverable",Uncommon,Uncommon
"Lithium, total [as Li]",Uncommon,Uncommon
Foaming agents,Uncommon,Uncommon
Color [admi units],Uncommon,Uncommon
