PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY,PARAMETER_CODE_CLEAN
34621,"2,4,6-Trichlorophenol",12007,A,59,,Y,2.0,"2,4,6-Trichlorophenol",Toxic Organics,Toxic Organics,34621
34624,"2,4,6-Trichlorophenol, dry weight",12007,A,59,,Y,2.0,,,,34624
34626,"2,6-Dinitrotoluene",10150,A,59,,Y,2.0,"2,6-Dinitrotoluene",Uncommon,Uncommon,34626
34629,"2,6-Dinitrotoluene, dry weight",10150,A,59,,Y,2.0,,,,34629
34631,"3,3'-Dichlorobenzidine",12519,A,59,,Y,2.0,"3,3'-Dichlorobenzidine",Toxic Organics,Toxic Organics,34631
34634,"3,3'-Dichlorobenzidine, dry weight",12519,A,59,,Y,2.0,,,,34634
TDM6E,NOEAL Static Renewal 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,,,,TDM6E
TKF3K,TU Static 1Hr Chronic Red Sea Urchin,4677,A,49,,Y,,,,,TKF3K
TKF3L,TU Static 1Hr Chronic Purple Sea Urchin,4677,A,49,,Y,,,,,TKF3L
TKF3M,TU Static 1Hr Chronic Green Sea Urchin,4677,A,49,,Y,,,,,TKF3M
TKF3N,TU Static 1Hr Chronic Dendraster Excent,4677,A,49,,Y,,,,,TKF3N
TKG1A,TU 1Hr Fert. Test Chronic Selen Capr.,4677,A,16,,Y,,,,,TKG1A
TKG1B,TU 1Hr Fert. Test Chronic L. Minor,4677,A,16,,Y,,,,,TKG1B
TKG3O,TU Static 48Hr Chronic Crassostrea Gigas,4677,A,49,,Y,,,,,TKG3O
TKG3P,TU Static 48Hr Chronic Mytilus Edulis,4677,A,49,,Y,,,,,TKG3P
TKN3H,TU Statre 96Hr Acute Pandulas Hypsinotus,4677,A,49,,Y,,,,,TKN3H
TKN3I,TU Statre 96Hr Acute Pandulas Borealis,4677,A,49,,Y,,,,,TKN3I
TKN3J,TU Statre 96Hr Acute Cancer Magister,4677,A,49,,Y,,,,,TKN3J
TKN6G,TU Statre 96Hr Acute Orcorhynchus Gorbus,4677,A,49,,Y,,,,,TKN6G
TLB1A,LF Pass/Fail Survival Test 96Hr Acute Selen. Capr,4677,A,16,,Y,,,,,TLB1A
TLE1A,LF Pass/Fail Survival Test 1Hr Chronic Selen. Capr.,4677,A,16,,Y,,,,,TLE1A
TLE1B,LF Pass/Fail Survival Test 1Hr Chronic L. Minor,4677,A,16,,Y,,,,,TLE1B
TLF1A,"LF Pass/Fail Survival Test 48Hr Chr, 5-7 Day Rec Selen. Capr.",4677,A,16,,Y,,,,,TLF1A
TLF1B,"LF Pass/Fail Survival Test 48Hr Chr, 5-7 Day Rec L. Minor",4677,A,16,,Y,,,,,TLF1B
TLG1A,LF Pass/Fail Survival Test 1Hr Fert. Test Chronic Selen. Capr,4677,A,16,,Y,,,,,TLG1A
TLG1B,LF Pass/Fail Survival Test 1Hr Fert. Test Chronic L. Minor,4677,A,16,,Y,,,,,TLG1B
TLP3B,Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Ceriodaphnia dubia,4677,A,55,,N,,,,,TLP3B
TLP3E,Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Americamysis bahia,4677,A,55,,N,,,,,TLP3E
TLP6A,Low Flow Pass/Fail Survival Test Static Renewal  7 Day Chronic Cyprinodeon variegatus,4677,A,55,,N,,,,,TLP6A
TLP6B,Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Menidia menidia,4677,A,55,,N,,,,,TLP6B
TLP6C,Low Flow Pass/Fail Survival Test Static Renewal 7 Day Chronic Pimephales promelas,4677,A,55,,N,,,,,TLP6C
TMB1A,LC10 96Hr Acute Selen. Capr.,4677,A,16,,Y,,,,,TMB1A
TMB1B,LC10 96Hr Acute L. Minor,4677,A,16,,Y,,,,,TMB1B
TME1A,LC10 1Hr Chronic Selen. Capr,4677,A,16,,Y,,,,,TME1A
TME1B,LC10 1Hr Chronic L. Minor,4677,A,16,,Y,,,,,TME1B
TME3B,Ceriodaphnia,4677,A,16,,Y,,,,,TME3B
TME6C,Pimephales,4677,A,16,,Y,,,,,TME6C
TMF1A,"LC10 48Hr Chr, 5-7 Day Rec Selen. Capr.",4677,A,16,,Y,,,,,TMF1A
TMF1B,"LC10 48Hr Chr, 5-7 Day Rec L. Minor",4677,A,16,,Y,,,,,TMF1B
TMG1A,LC10 1Hr Fert. Test Chronic Selen. Capr.,4677,A,16,,Y,,,,,TMG1A
TMG1B,LC10 1Hr Fert. Test Chronic L. Minor,4677,A,16,,Y,,,,,TMG1B
