CWNS_ID,DUMMY_ID,FACILITY_NAME,PERMIT_NUMBER,TOTAL_RES_POPULATION_2022,FACILITY_TYPE,CURRENT_DESIGN_FLOW,COUNTY_NAME,STATE_CODE,LATITUDE,LONGITUDE,CITY
23000098001,23000098001t1,FAIRFIELD COL SYS (Collection: Separate Sewers),,4406.0,Collection: Separate Sewers,,,ME,44.5806,-69.6039,Fairfield
32000012002,32000012002,GABBS SOUTH - SEWERS,,173.0,Collection: Separate Sewers,,,NV,38.8802,-117.8686,Gabbs
31000820001,31000820001t1,ELK CREEK WWTP (Treatment Plant),,152.0,Treatment Plant,0.02,,NE,40.2814,-96.1253,Elk Creek
31000820001,31000820001t0,ELK CREEK WWTP (Collection: Separate Sewers),,152.0,Collection: Separate Sewers,0.02,,NE,40.2814,-96.1253,Elk Creek
31000960001,31000960001t1,"FULLERTON, WWTP (Treatment Plant)",['NE0026638'],1569.0,Treatment Plant,0.2,Nance,NE,41.3711,-97.9467,Fullerton
31000960001,31000960001t0,"FULLERTON, WWTP (Collection: Separate Sewers)",['NE0026638'],1569.0,Collection: Separate Sewers,0.2,Nance,NE,41.3711,-97.9467,Fullerton
27000056001,27000056001t1,AFTON WWTP (Treatment Plant),['MN0070599'],500.0,Treatment Plant,0.051,,MN,44.91804475,-92.77795255,Afton
27000056001,27000056001t0,AFTON WWTP (Collection: Separate Sewers),['MN0070599'],500.0,Collection: Separate Sewers,0.051,,MN,44.91804475,-92.77795255,Afton
27000181001,27000181001t1,ST PETER WWTP (Treatment Plant),['MN0022535'],12780.0,Treatment Plant,4.0,,MN,44.33962873,-93.95740632,Saint Peter
27000181001,27000181001t0,ST PETER WWTP (Collection: Separate Sewers),['MN0022535'],12780.0,Collection: Separate Sewers,4.0,,MN,44.33962873,-93.95740632,Saint Peter
27001104001,27001104001t0,ORTONVILLE WWTP (Collection: Separate Sewers),['MNG585151'],2300.0,Collection: Separate Sewers,0.43,Big Stone,MN,45.30682751,-96.44071821,Ortonville
27001104001,27001104001t1,ORTONVILLE WWTP (Treatment Plant),['MNG585151'],2300.0,Treatment Plant,0.43,Big Stone,MN,45.30682751,-96.44071821,Ortonville
38000269001,38000269001t1,NEWBURG WASTEWATER (Treatment Plant),['NDG321261'],127.0,Treatment Plant,0.01,,ND,48.7134,-100.9069,Newburg
38000269001,38000269001t0,NEWBURG WASTEWATER (Collection: Separate Sewers),['NDG321261'],127.0,Collection: Separate Sewers,0.01,,ND,48.7134,-100.9069,Newburg
38000313001,38000313001t1,SANBORN WASTEWATER (Treatment Plant),['NDG320311'],222.0,Treatment Plant,0.02,Barnes,ND,46.9394,-98.2154,Sanborn
38000313001,38000313001t0,SANBORN WASTEWATER (Collection: Separate Sewers),['NDG320311'],222.0,Collection: Separate Sewers,0.02,Barnes,ND,46.9394,-98.2154,Sanborn
38000317001,38000317001t0,SENTINEL BUTTE WASTEWATER (Collection: Separate Sewers),['NDG325461'],75.0,Collection: Separate Sewers,0.02,,ND,46.93547,-103.8751,Sentinel Butte
38000317001,38000317001t1,SENTINEL BUTTE WASTEWATER (Treatment Plant),['NDG325461'],75.0,Treatment Plant,0.02,,ND,46.93547,-103.8751,Sentinel Butte
37001108001,37001108001,BLACK MOUNTAIN COLL. SYS.,,8319.0,Collection: Separate Sewers,,,NC,35.617396,-82.325191,Black Mountain
37002806001,37002806001,KILL DEVIL HILLS COLL. SYS.,,328.0,Collection: Separate Sewers,,,NC,36.010992,-75.663056,Kill Devil Hills
37004102002,37004102002t1,NORTH BUFFALO WWTP (Treatment Plant),['NC0024325'],90700.0,Treatment Plant,16.0,,NC,36.1082,-79.7298,Greensboro
37004102002,37004102002t0,NORTH BUFFALO WWTP (Collection: Separate Sewers),['NC0024325'],90700.0,Collection: Separate Sewers,16.0,,NC,36.1082,-79.7298,Greensboro
37004103001,37004103001,JAMESTOWN COLL. SYS.,,4374.0,Collection: Separate Sewers,,,NC,35.996549,-79.932146,Jamestown
30000152001,30000152001t0,CHOTEAU LAGOONS (Collection: Separate Sewers),['MT0020052'],1952.0,Collection: Separate Sewers,0.3,,MT,47.7956,-112.1783,Choteau
