CWNS_ID,PERMIT_NUMBER,population_cwns,population_covid,population_sso,source,Population Served
6008086001,CA8000100,18000,NA,NA,CWNS,18000
6008100001,RB-2015-0023; CA0107611,43939,NA,NA,CWNS,43939
6009004001,CA0108031,29352,NA,NA,CWNS,29352
6009011001,CA0107395,363144,NA,NA,CWNS,363144
6009014002,R9-2004-0223,36314,NA,NA,CWNS,36314
6009015003,2006-0003-DWQ; R9-2007-0037,13770,NA,NA,CWNS,13770
6009016001,Order No. 92-04,5133,NA,NA,CWNS,5133
6009019001,CA0107417,49715,NA,NA,CWNS,49715
6009020001,NO. 94-80,2851,NA,NA,CWNS,2851
6009028001,CA0107999,20479,NA,NA,CWNS,20479
6009031001,CA0107409,2222389,2200000,NA,CWNS+COVID,2211194.5
6009031004,CA0108928,146085,NA,NA,CWNS,146085
6009032001,CA0107981,180000,NA,NA,CWNS,180000
6009036001,CA0107492,36000,NA,NA,CWNS,36000
6009040001,R9-2007-0018; CA0107395,94500,NA,NA,CWNS,94500
6009041001,CA0107433,38102,NA,NA,CWNS,38102
6009047001,R9-2007-0005,17550,NA,NA,CWNS,17550
6009058001,Order WQ 2014-0153-D,557,NA,NA,CWNS,557
6009069001,R7-2019-0015,900,NA,NA,CWNS,900
6012001102,CAS618036,NA,NA,NA,Unmatched,NA
6012004008,CAG674001,NA,NA,NA,Unmatched,NA
6021003001,CA000000,NA,NA,NA,Unmatched,NA
6022012001,CA0037834; CAS000004,NA,NA,NA,Unmatched,NA
6022041001,CA029718,NA,NA,NA,Unmatched,NA
6022041002,CAS612008; CAS029718,NA,NA,NA,Unmatched,NA
6022047001,CAS108766,NA,NA,NA,Unmatched,NA
6022054001,CAS612007,NA,NA,NA,Unmatched,NA
6022109001,CAS029831,NA,NA,NA,Unmatched,NA
6022175001,CA0029831,NA,NA,NA,Unmatched,NA
6024000001,CAS614001,NA,NA,NA,Unmatched,NA
6024007001,CAS004004; CAS004002,NA,NA,NA,Unmatched,NA
6024008010,CAS000000,NA,NA,NA,Unmatched,NA
6025053001,CA0083500,NA,NA,NA,Unmatched,NA
6025061001,CA0083313,NA,NA,NA,Unmatched,NA
6025373001,CA0083470,NA,NA,NA,Unmatched,NA
6026000001,CAG616001,NA,NA,NA,Unmatched,NA
6029031001,CAS0109266; CAS108758,NA,NA,NA,Unmatched,NA
6029046001,CA0108758,NA,NA,NA,Unmatched,NA
